id,keyword,normalized_keyword,variant_type,candidate_type,source_type,status,entity_name,entity_source_type,entity_review_status,score,confidence,trademark_risk,verification_status,ad_copy_allowed,landing_page_allowed,created_at
191,new york community bancorp phone number,new york community bancorp phone number,phone_number,phone_number,cfpb_complaint,approved_seed,NEW YORK COMMUNITY BANCORP INC,cfpb_complaint,approved_seed,92.0,0.92,unknown,needs_review,0,1,2026-06-11T00:20:04Z
188,new york community bancorp reviews,new york community bancorp reviews,reviews,reviews,cfpb_complaint,approved_seed,NEW YORK COMMUNITY BANCORP INC,cfpb_complaint,approved_seed,92.0,0.92,unknown,needs_review,0,1,2026-06-11T00:20:04Z
55,citibank n a,citibank n a,brand,brand,cfpb_complaint,approved_seed,"CITIBANK, N.A.",cfpb_complaint,approved_seed,91.4,0.914,unknown,needs_review,0,1,2026-06-11T00:20:04Z
60,citibank n a alternative,citibank n a alternative,alternative,alternative,cfpb_complaint,approved_seed,"CITIBANK, N.A.",cfpb_complaint,approved_seed,91.4,0.914,unknown,needs_review,0,1,2026-06-11T00:20:04Z
58,citibank n a bbb,citibank n a bbb,bbb,bbb,cfpb_complaint,approved_seed,"CITIBANK, N.A.",cfpb_complaint,approved_seed,91.4,0.914,unknown,needs_review,0,1,2026-06-11T00:20:04Z
57,citibank n a complaints,citibank n a complaints,complaints,complaints,cfpb_complaint,approved_seed,"CITIBANK, N.A.",cfpb_complaint,approved_seed,91.4,0.914,unknown,needs_review,0,1,2026-06-11T00:20:04Z
59,citibank n a phone number,citibank n a phone number,phone_number,phone_number,cfpb_complaint,approved_seed,"CITIBANK, N.A.",cfpb_complaint,approved_seed,91.4,0.914,unknown,needs_review,0,1,2026-06-11T00:20:04Z
56,citibank n a reviews,citibank n a reviews,reviews,reviews,cfpb_complaint,approved_seed,"CITIBANK, N.A.",cfpb_complaint,approved_seed,91.4,0.914,unknown,needs_review,0,1,2026-06-11T00:20:04Z
379,chime financial,chime financial,brand,brand,cfpb_complaint,approved_seed,Chime Financial Inc,cfpb_complaint,approved_seed,91.0,0.91,unknown,needs_review,0,1,2026-06-11T00:20:04Z
384,chime financial alternative,chime financial alternative,alternative,alternative,cfpb_complaint,approved_seed,Chime Financial Inc,cfpb_complaint,approved_seed,91.0,0.91,unknown,needs_review,0,1,2026-06-11T00:20:04Z
382,chime financial bbb,chime financial bbb,bbb,bbb,cfpb_complaint,approved_seed,Chime Financial Inc,cfpb_complaint,approved_seed,91.0,0.91,unknown,needs_review,0,1,2026-06-11T00:20:04Z
381,chime financial complaints,chime financial complaints,complaints,complaints,cfpb_complaint,approved_seed,Chime Financial Inc,cfpb_complaint,approved_seed,91.0,0.91,unknown,needs_review,0,1,2026-06-11T00:20:04Z
383,chime financial phone number,chime financial phone number,phone_number,phone_number,cfpb_complaint,approved_seed,Chime Financial Inc,cfpb_complaint,approved_seed,91.0,0.91,unknown,needs_review,0,1,2026-06-11T00:20:04Z
380,chime financial reviews,chime financial reviews,reviews,reviews,cfpb_complaint,approved_seed,Chime Financial Inc,cfpb_complaint,approved_seed,91.0,0.91,unknown,needs_review,0,1,2026-06-11T00:20:04Z
127,american express,american express,brand,brand,cfpb_complaint,approved_seed,AMERICAN EXPRESS COMPANY,cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
132,american express alternative,american express alternative,alternative,alternative,cfpb_complaint,approved_seed,AMERICAN EXPRESS COMPANY,cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
130,american express bbb,american express bbb,bbb,bbb,cfpb_complaint,approved_seed,AMERICAN EXPRESS COMPANY,cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
129,american express complaints,american express complaints,complaints,complaints,cfpb_complaint,approved_seed,AMERICAN EXPRESS COMPANY,cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
